,Zl,Z,Zu,alpha,spread
388,195420,0.0006432769549762,203460,12.232015051683588,8040
389,192300,0.0006432769549762,202860,0.0,10560
390,197400,0.0006429554129678,198200,0.0,800
391,196800,0.0006432769549762,198480,0.0,1680
392,197260,0.0006429554129678,198090,0.0,830
393,191160,0.0006432769549762,193380,1.2865539099509538e-05,2220
394,196920,0.0006432769549762,198060,0.0,1140
395,196740,0.0006432769549762,199980,0.0,3240
396,197220,0.0006432769549762,198180,0.0,960
397,197670,0.0006429554129678,197700,0.0,30
398,190080,0.0006432769549762,197460,0.0,7380
399,196800,0.0006432769549762,200220,0.0,3420
400,196620,0.0006432769549762,197700,0.0,1080
401,197350,0.0006429554129678,197920,0.0,570
402,194760,0.0006432769549762,202380,6.047426958101402e-06,7620
403,196260,0.0006432769549762,201360,0.0,5100
404,196500,0.0006432769549762,198960,0.0,2460
405,193860,0.0006432769549762,204660,0.0,10800
406,192300,0.0006432769549762,201780,0.0,9480
407,197280,0.0006432769549762,198480,0.0,1200
408,197730,0.0006429554129678,197740,0.0,10
409,196620,0.0006432769549762,198900,0.0,2280
410,161160,0.0006432769549762,214200,0.0,53040
411,193380,0.0006432769549762,201360,0.0,7980
412,196040,0.0006429554129678,200060,0.0,4020
413,193920,0.0006432769549762,198720,0.0,4800
414,190800,0.0006432769549762,204660,4.727765826914259,13860
415,190800,0.0006432769549762,205740,0.0,14940
416,190800,0.0006432769549762,205740,0.0,14940
417,195150,0.0006429554129678,200310,0.0,5160
418,190800,0.0006432769549762,205740,0.0,14940
419,190980,0.0006432769549762,205740,0.0,14760
420,196140,0.0006432769549762,201360,0.0,5220
421,197620,0.0006429554129678,197680,0.0,60
422,195610,0.0006429554129678,199820,0.0,4210
423,197160,0.0006432769549762,198300,0.0,1140
424,197760,0.0006432769549762,198060,0.0,300
425,194520,0.0006432769549762,194580,2.689393910733448e-07,60
426,196920,0.0006432769549762,198960,0.0,2040
427,187310,0.0006429554129678,201340,0.0,14030
428,197340,0.0006432769549762,198060,0.0,720
429,197700,0.0006432769549762,197940,0.0,240
430,121860,0.0006432769549762,276300,1992.4996212260849,154440
431,198080,0.0006429554129678,199360,0.0,1280
432,197820,0.0006432769549762,197880,0.0,60
433,197790,0.0006429554129678,197820,0.0,30
434,197880,0.0006432769549762,199560,0.0,1680
435,195240,0.0006432769549762,201420,0.0,6180
436,190920,0.0006432769549762,204780,0.0,13860
437,197570,0.0006429554129678,198060,0.0,490
438,190920,0.0006432769549762,204780,0.0,13860
439,193740,0.0006432769549762,201120,0.0,7380
440,196020,0.0006432769549762,199200,0.0,3180
441,196980,0.0006429554129678,199400,0.0,2420
442,197680,0.0006429554129678,199360,0.0,1680
443,197700,0.0006432769549762,197760,0.0,60
444,195610,0.0006429554129678,199730,0.0,4120
445,196680,0.0006432769549762,198840,0.0,2160
446,197580,0.0006432769549762,197640,0.0,60
447,197520,0.0006432769549762,197580,0.0,60
448,196680,0.0006432769549762,199620,0.0,2940
449,197100,0.0006432769549762,197820,0.0,720
450,196980,0.0006432769549762,197760,0.0,780
451,197350,0.0006429554129678,197660,0.0,310
452,197340,0.0006432769549762,197400,0.0,60
453,197110,0.0006429554129678,197690,0.0,580
454,197100,0.0006432769549762,198900,0.0,1800
