,pool_block,pool_timestamp,adjusted_current_price,current_tick,tick_lower,tick_upper,adjusted_amount0,token0,adjusted_amount1,token1,alpha
125957,12370624,1620169800,0.0006422485861802988,202815,194400,195600,0.0,USDC,0.0,WETH,0.0
125962,12370624,1620169800,0.0006422485861802988,202815,194700,195240,0.0,USDC,0.0,WETH,0.0
12597,12370624,1620169800,0.0006422485861802988,202815,170340,177300,0.0,USDC,0.0,WETH,0.0
125973,12370624,1620169800,0.0006422485861802988,202815,193920,194940,0.0,USDC,0.0,WETH,0.0
126001,12370624,1620169800,0.0006422485861802988,202815,192840,196800,0.0,USDC,0.0,WETH,0.0
126020,12370624,1620169800,0.0006422485861802988,202815,194460,196260,0.0,USDC,0.0,WETH,0.0
126024,12376729,1620250931,0.0006431483188810073,202829,193690,196670,0.0,USDC,0.0,WETH,0.0
126028,12370624,1620169800,0.0006422485861802988,202815,194400,196260,0.0,USDC,0.0,WETH,0.0
12603,12370624,1620169800,0.0006422485861802988,202815,192600,193020,0.0,USDC,0.0,WETH,0.0
126035,12376729,1620250931,0.0006431483188810073,202829,191040,201930,0.0,USDC,0.0,WETH,0.0
12605,12370624,1620169800,0.0006422485861802988,202815,189300,196260,0.0,USDC,0.0,WETH,0.0
126050,12370624,1620169800,0.0006422485861802988,202815,185280,414480,0.0,USDC,0.0,WETH,0.0
12607,12370624,1620169800,0.0006422485861802988,202815,192480,192720,0.0,USDC,0.0,WETH,0.0
126074,12376729,1620250931,0.0006430840104799593,202828,195310,195770,0.0,USDC,0.0,WETH,0.0
126082,12376729,1620250931,0.0006430840104799593,202828,195520,196660,0.0,USDC,0.0,WETH,0.0
126091,12370624,1620169800,0.0006422485861802988,202815,195360,195960,0.0,USDC,0.0,WETH,0.0
126092,12370624,1620169800,0.0006422485861802988,202815,194820,195600,0.0,USDC,0.0,WETH,0.0
126093,12376729,1620250931,0.0006430840104799593,202828,195150,195630,0.0,USDC,0.0,WETH,0.0
126098,12370624,1620169800,0.0006422485861802988,202815,194760,195720,0.0,USDC,0.0,WETH,0.0
126104,12370624,1620169800,0.0006422485861802988,202815,188520,203160,0.0,USDC,0.0,WETH,0.0
126106,12376729,1620250931,0.0006430840104799593,202828,195010,196260,0.0,USDC,0.0,WETH,0.0
126108,12376729,1620250931,0.0006430840104799593,202828,193700,195850,0.0,USDC,0.0,WETH,0.0
12611,12370624,1620169800,0.0006422485861802988,202815,189300,196260,0.0,USDC,0.0,WETH,0.0
126121,12376729,1620250931,0.0006431483188810073,202829,194740,196480,0.0,USDC,0.0,WETH,0.0
126131,12370624,1620169800,0.0006422485861802988,202815,-887220,887220,0.0,USDC,0.0,WETH,0.0
126133,12376729,1620250931,0.0006431483188810073,202829,193890,195530,0.0,USDC,0.0,WETH,0.0
12614,12370624,1620169800,0.0006422485861802988,202815,189300,196260,0.0,USDC,0.0,WETH,0.0
12615,12370624,1620169800,0.0006422485861802988,202815,192180,192660,0.0,USDC,0.0,WETH,0.0
126153,12370624,1620169800,0.0006422485861802988,202815,188580,202500,0.0,USDC,0.0,WETH,0.0
126164,12370624,1620169800,0.0006422485861802988,202815,193320,196500,0.0,USDC,0.0,WETH,0.0
126167,12369811,1620158865,0.0006423128110389168,202816,194400,196600,0.0,USDC,0.0,WETH,0.0
126177,12370624,1620169800,0.0006422485861802988,202815,188580,202440,0.0,USDC,0.0,WETH,0.0
126182,12370624,1620169800,0.0006422485861802988,202815,193740,197760,0.0,USDC,0.0,WETH,0.0
126192,12370624,1620169800,0.0006422485861802988,202815,188700,202620,0.0,USDC,0.0,WETH,0.0
126197,12370624,1620169800,0.0006422485861802988,202815,195000,196320,0.0,USDC,0.0,WETH,0.0
126199,12370624,1620169800,0.0006422485861802988,202815,195660,200100,0.0,USDC,0.0,WETH,0.0
126201,12376729,1620250931,0.0006431483188810073,202829,194430,196310,0.0,USDC,0.0,WETH,0.0
126213,12370624,1620169800,0.0006422485861802988,202815,193500,197280,0.0,USDC,0.0,WETH,0.0
126215,12370624,1620169800,0.0006422485861802988,202815,194820,195660,0.0,USDC,0.0,WETH,0.0
126218,12376729,1620250931,0.0006431483188810073,202829,194250,196260,0.0,USDC,0.0,WETH,0.0
126227,12370624,1620169800,0.0006422485861802988,202815,190980,201840,0.0,USDC,0.55923551849284,WETH,0.0003591682210938329
126228,12370624,1620169800,0.0006422485861802988,202815,195300,195660,0.0,USDC,0.0,WETH,0.0
126237,12370624,1620169800,0.0006422485861802988,202815,188640,202320,0.0,USDC,0.0,WETH,0.0
126238,12376729,1620250931,0.0006431483188810073,202829,193630,196940,0.0,USDC,0.0,WETH,0.0
126254,12376729,1620250931,0.0006431483188810073,202829,194900,195700,0.0,USDC,0.0,WETH,0.0
126263,12376729,1620250931,0.0006431483188810073,202829,194970,195910,0.0,USDC,0.0,WETH,0.0
