,id,owner,pool,token0,token1,tickLower,tickUpper,liquidity,collectedFeesToken0,collectedFeesToken1,transaction,feeGrowthInside0LastX128,feeGrowthInside1LastX128
73,578901,0x17c91f832484dc09ef10d594dda8fba1191b1fb3,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '202530'},{'tickIdx': '203030'},71061692148157919,0,0,{'id': '0x5e79690b4d9d0046d98ee13029b0b007909aff033e9747a9d8ce2fe9a23dc66c'},271910622201903642854310517627620,203385210270922106791926179608517121271315
74,575647,0x83f3721ba6379c73973a4890affe9a98ca8f030c,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '202030'},{'tickIdx': '202300'},70141149885442754,0,0,{'id': '0xbba727f7575ccb8781907cb8b3bc688848089fcd274a365adb3e4270f0bf8e16'},397361411393712268358656304203803,281680549813094147427363680350339510491963
75,430048,0xbd5f3fa3f0c12dbce35f58f4d6a53da9b0f3b2c4,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '202120'},{'tickIdx': '203060'},68450889096934661,0,0,{'id': '0x74ab8183daa185f53aa380a3dd255afd43ddba71a949291d8d5321c9f2bb3779'},90304077628633291070975203322937,55674350386478885471296619111210147391097
76,534167,0xeec3d693439f1331a98ffbc71f4bd743d2788564,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '200260'},{'tickIdx': '200770'},68305711884774210,0,0,{'id': '0xf571adacd58def81c2d2901360d4c8b6d7b16f7c29393ee20075fd22a23643ea'},72772708095447516438835016854800,37242701997970561850760559409304414639690
77,299529,0x59de07733e8a6aa85a1951e6c61966d120434130,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '201930'},{'tickIdx': '203190'},67510740946663349,0,0,{'id': '0x13ad9f78087c54a487ca50a6c0898ff025579a1de23b480d4e5771e0d45b25a4'},86088232666398203274092985350247,53836106491939343004443501527832996221839
78,475301,0xb5cfd1cf9a842251112d92505106440338f2b6f9,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '200310'},{'tickIdx': '203180'},67297385968867536,0,0,{'id': '0x7bf790ff75abadc17a68186c5dc6f268ad7094cad22e98b7a242f3042c797e0c'},500057153528952958720255786597056,292415403572804488860280842006827084064476
79,578168,0x9af6e81f3df68f3b4ebe8e066e017b1d0d0a8341,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '202780'},{'tickIdx': '202850'},66727061830672370,0,0,{'id': '0xc1f4d53defaf16c9fc097e5bd88dabf08282b31ba1b82714e928dd2a979f4537'},256691958804265408467408698392905,194514911538703685198264850815086390894027
80,578795,0x43ed98df05f97369d69d018a454fae6fc788e2ec,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '202050'},{'tickIdx': '203800'},66568088377440682,0,0,{'id': '0xcf10dc0be9e363ab7fb1bc75fcd08bf80641762b7fb560a1f04eacf82b0b3de6'},563496944844560644908939431431276,415018272056967684218346711225301261455362
81,72837,0x999306cb8e37ef95d2d0c1a313155f6ed28672bc,{'id': '0x7bea39867e4169dbe237d55c8242a8f2fcdcc387'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '0'},{'tickIdx': '200'},65351550522830739,0,0,{'id': '0xab2825c35ac711aaf6300229d4e703dd0f017f0dd7055bf5bc9009401fa4af3c'},0,0
82,574949,0x192c353ac852363f41e6a136c97cd45c90f1293e,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '202100'},{'tickIdx': '202560'},63761572083130812,0,0,{'id': '0x305b77eb1883c4cc799c96c25c194386275ae09e3675d7b058ac07d30c509228'},224023102117937576810513259110122,162465506794722972755279745605185912430932
83,577816,0x246ac45817710f526750bdd5c531ab3f14633e64,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '202680'},{'tickIdx': '202710'},62723865982825761,0,0,{'id': '0x3b2cc6dae04dedd418c1d9f8f2f99156ec27c40a71ba31552e69f2471255051a'},924017188504520430284004731363,596002280771572322800657533386277968169
84,557523,0x5041aa0aebce4285867032b35ed1b2883e9ed46d,{'id': '0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640'},"{'symbol': 'USDC', 'volume': '650947124662.973474'}","{'symbol': 'WETH', 'volume': '388777074.377795092356455883'}",{'tickIdx': '201750'},{'tickIdx': '201870'},62309223114133330,0,0,{'id': '0x8f7f63fdb535e61abde1479fa273f7a9b52a0fa6d66e62cc1fee094e77b5623b'},553677804721320172034738061069169,422950398978369014698761749196838608938071
